City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kalugumalai,IN,9.15,77.7167,79.54,74,61,6.76,broken clouds
80,Vanavara,RU,60.34,102.2797,0.34,92,100,10.47,overcast clouds
81,San Patricio,US,28.017,-97.5169,67.87,62,16,1.41,few clouds
82,Moron,AR,-34.6534,-58.6198,80.92,46,56,5.99,broken clouds
83,Hobyo,SO,5.3505,48.5268,79.09,77,99,20.54,overcast clouds
84,Port Hedland,AU,-20.3167,118.5667,84.25,65,5,4.61,clear sky
85,Botucatu,BR,-22.8858,-48.445,72.25,49,62,9.15,broken clouds
86,Iqaluit,CA,63.7506,-68.5145,6.53,72,90,13.8,light shower snow
87,Bubaque,GW,11.2833,-15.8333,82.2,48,73,7.11,broken clouds
88,Mataura,NZ,-46.1927,168.8643,52.48,97,98,0.47,overcast clouds
89,Kushiro,JP,42.975,144.3747,33.8,73,100,7.07,overcast clouds
90,Busselton,AU,-33.65,115.3333,73.98,58,1,9.35,clear sky
91,Nikolskoye,RU,59.7035,30.7861,6.69,99,100,2.24,overcast clouds
92,Bambous Virieux,MU,-20.3428,57.7575,80.85,69,40,6.91,scattered clouds
93,Yellowknife,CA,62.456,-114.3525,3.72,92,90,10.36,light snow
94,Qaanaaq,GL,77.484,-69.3632,9.34,62,100,11.34,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,71.67,88,40,12.66,scattered clouds
96,Yaan,NG,7.3833,8.5667,96.37,13,48,6.8,scattered clouds
97,Buraydah,SA,26.326,43.975,73.85,19,100,6.02,overcast clouds
98,Ostrovnoy,RU,68.0531,39.5131,13.39,79,62,3.67,broken clouds
99,Atar,MR,20.5169,-13.0499,83.71,7,97,15.17,overcast clouds
100,Kapaa,US,22.0752,-159.319,75.52,75,75,6.91,light rain
101,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,92,90,12.66,overcast clouds
102,Wajima,JP,37.4,136.9,52.97,66,82,15.43,broken clouds
103,Avera,US,33.194,-82.5271,47.86,95,100,4.85,overcast clouds
104,Korla,CN,41.7597,86.1469,28.42,53,47,3.78,scattered clouds
105,Avarua,CK,-21.2078,-159.775,77.05,94,90,2.3,light rain
106,Berdigestyakh,RU,62.0989,126.6992,-16.69,99,100,4.05,overcast clouds
107,Port Alfred,ZA,-33.5906,26.891,68.34,91,100,15.41,light rain
108,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,44,0,16.11,clear sky
109,Przasnysz,PL,53.0191,20.8803,24.39,78,31,11.27,scattered clouds
110,Varzea Da Palma,BR,-17.5981,-44.7308,86.83,51,47,3.11,scattered clouds
111,Batagay-Alyta,RU,67.8006,130.4114,-28.37,91,100,1.48,overcast clouds
112,Vanimo,PG,-2.6741,141.3028,78.04,89,100,5.91,overcast clouds
113,General Roca,AR,-39.0333,-67.5833,64.8,47,95,23.62,overcast clouds
114,Half Moon Bay,US,37.4636,-122.4286,54.3,95,90,4.61,overcast clouds
115,Padang,ID,-0.9492,100.3543,75.25,88,58,4.14,broken clouds
116,Kilindoni,TZ,-7.9139,39.6668,80.82,77,100,9.84,light rain
117,Beringovskiy,RU,63.05,179.3167,-0.94,98,100,16.35,light snow
118,Bastia,FR,42.6667,9.3333,54.3,76,75,8.01,broken clouds
119,Mwene-Ditu,CD,-7.0,23.45,70.92,94,92,1.92,light rain
120,Coihaique,CL,-45.5752,-72.0662,64.35,52,40,9.22,scattered clouds
121,Wanaka,NZ,-44.7,169.15,50.52,84,59,4.18,light rain
122,Vao,NC,-22.6667,167.4833,77.56,86,0,9.35,clear sky
123,Palauig,PH,15.435,119.9045,75.7,69,89,8.43,overcast clouds
124,Coquimbo,CL,-29.9533,-71.3436,64.13,67,20,14.97,few clouds
125,Teknaf,BD,20.8624,92.3058,75.88,82,1,2.82,clear sky
126,Guanica,PR,17.9716,-66.908,87.13,62,10,7.0,clear sky
127,Norman Wells,CA,65.282,-126.8329,18.3,93,100,15.9,light snow
128,Kavieng,PG,-2.5744,150.7967,81.48,80,100,13.35,light rain
129,Coxim,BR,-18.5067,-54.76,87.26,47,52,6.4,broken clouds
130,Northam,GB,51.0333,-4.2167,46.62,69,66,27.85,broken clouds
131,Mao,ES,39.8885,4.2658,54.16,54,20,13.8,few clouds
132,Cassilandia,BR,-19.1133,-51.7342,81.34,54,0,5.95,clear sky
133,Luang Prabang,LA,19.8856,102.1347,60.94,81,2,0.96,clear sky
134,Guerrero Negro,MX,27.9769,-114.0611,62.6,74,100,6.42,overcast clouds
135,Mexticacan,MX,21.2654,-102.7798,64.38,32,98,2.59,overcast clouds
136,Leningradskiy,RU,69.3833,178.4167,-7.46,93,100,15.66,overcast clouds
137,Benavente,ES,42.0025,-5.6783,43.88,64,67,15.61,broken clouds
138,Georgetown,MY,5.4112,100.3354,82.89,77,20,1.99,few clouds
139,Baghdad,IQ,33.3406,44.4009,66.11,48,0,19.57,clear sky
140,Pevek,RU,69.7008,170.3133,-20.22,99,100,2.28,overcast clouds
141,Mazyr,BY,52.0495,29.2456,21.52,93,100,13.0,light snow
142,Provideniya,RU,64.3833,-173.3,5.14,94,100,19.19,overcast clouds
143,Asosa,ET,10.0667,34.5333,71.13,27,12,6.93,few clouds
144,Skerries,IE,53.5828,-6.1083,44.19,80,100,33.96,moderate rain
145,Mitsamiouli,KM,-11.3847,43.2844,84.49,70,40,6.91,light rain
146,Cherskiy,RU,68.75,161.3,-44.03,100,100,2.84,overcast clouds
147,Tasiilaq,GL,65.6145,-37.6368,32.16,89,100,32.55,light snow
148,Gushikawa,JP,26.3544,127.8686,65.43,82,1,8.05,clear sky
149,Kayerkan,RU,69.3497,87.7602,0.52,84,100,22.19,light snow
150,Bowen,AU,-20.0167,148.2333,75.42,79,51,5.39,broken clouds
151,Neuquen,AR,-38.9516,-68.0591,64.29,55,0,13.8,clear sky
152,Olafsvik,IS,64.8945,-23.7142,36.77,72,23,21.27,few clouds
153,Hoquiam,US,46.9809,-123.8893,47.01,77,40,13.8,scattered clouds
154,Chuy,UY,-33.6971,-53.4616,75.45,51,10,13.11,clear sky
155,Puerto Carreno,CO,6.189,-67.4859,85.98,62,84,11.5,broken clouds
156,Mount Gambier,AU,-37.8333,140.7667,44.51,87,43,5.75,scattered clouds
157,Kruisfontein,ZA,-34.0033,24.7314,66.88,92,100,7.38,overcast clouds
