City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Puerto Carreno,CO,85.98,broken clouds,6.189,-67.4859,Casa Hotel Victoria
160,Marsh Harbour,BS,76.68,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
162,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Saint-Leu,RE,77.86,broken clouds,-21.15,55.2833,La Caz Oceane
175,Tarija,BO,71.51,broken clouds,-21.5355,-64.7296,Hostal Granny
179,Dong Xoai,VN,72.97,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
186,Port Blair,IN,80.29,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
187,Nabire,ID,78.3,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
188,Castro,BR,71.92,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
189,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
190,Moranbah,AU,76.01,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
192,Bengkulu,ID,76.77,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
195,Cidreira,BR,72.09,scattered clouds,-30.1811,-50.2056,Hotel Castelo
196,Tiarei,PF,77.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
198,Tomatlan,MX,81.05,scattered clouds,19.9333,-105.25,El Salvial
199,Sarangani,PH,83.07,overcast clouds,5.4033,125.4636,Ballistic Islet
201,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
203,Takoradi,GH,83.77,clear sky,4.8845,-1.7554,Raybow International Hotel
204,San Luis,AR,70.48,overcast clouds,-33.295,-66.3356,Huarpes Hotel
206,Sao Filipe,CV,78.17,overcast clouds,14.8961,-24.4956,Hotel Xaguate
207,Namatanai,PG,79.92,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
212,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
214,Roura,GF,78.71,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
219,Ewa Beach,US,76.95,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
223,Lorengau,PG,79.29,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
224,Paraiso,CR,72.95,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
227,Necochea,AR,86.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
232,Beneditinos,BR,85.33,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
234,San Carlos Del Zulia,VE,86.95,broken clouds,9.0,-71.9135,Hotel El Manantial
238,Sinnamary,GF,81.27,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
239,Richards Bay,ZA,76.05,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
243,Doha,QA,73.71,clear sky,25.2867,51.5333,Movenpick Hotel Doha
244,Morant Bay,JM,85.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
245,Kudahuvadhoo,MV,82.02,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
248,Cocobeach,GA,81.88,light rain,1.0002,9.5823,Hotel Esperance
250,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
256,Grand Gaube,MU,81.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
258,San Juan,AR,74.91,broken clouds,-31.5375,-68.5364,Hotel Provincial
259,Torres,BR,71.08,broken clouds,-29.3353,-49.7269,Farol Hotel
260,Camana,PE,72.27,overcast clouds,-16.6228,-72.7111,Hostal Morales
262,Xai-Xai,MZ,75.94,overcast clouds,-25.0519,33.6442,Complexo da Familia
271,Quepos,CR,87.58,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
272,Port Victoria,KE,74.41,light rain,0.0939,33.9756,Homepark motel
277,Saldanha,ZA,82.45,broken clouds,-33.0117,17.9442,Blue Bay Lodge
278,Mercedes,AR,84.18,clear sky,-34.6515,-59.4307,Posada del Inti Centro
285,Ugoofaaru,MV,81.63,few clouds,5.6667,73.0,Ungoofaaru Inn
287,Simiti,CO,89.85,scattered clouds,7.9579,-73.9436,Cancha la original
294,Batticaloa,LK,79.3,light rain,7.7102,81.6924,Grand Star Guest House
296,Santa Cruz Cabralia,BR,75.43,moderate rain,-16.2781,-39.0247,Puerto Princesa Inn
297,Pandan,PH,77.31,overcast clouds,14.0453,124.1694,Bonifacio Lodge
298,Isangel,VU,77.11,clear sky,-19.55,169.2667,Tanna Lodge
300,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
302,Poum,NC,81.39,few clouds,-20.2333,164.0167,Gîte kajeon
303,Tecoanapa,MX,82.56,clear sky,16.5167,-98.75,Hotel Manglares
306,Ixtapa,MX,82.13,few clouds,20.7,-105.2,Hotel Plaza Providencia
310,Faanui,PF,80.62,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
311,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
313,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
314,Paragominas,BR,89.04,overcast clouds,-2.9667,-47.4833,INOVA
318,Senador Jose Porfirio,BR,78.4,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
319,Isoka,ZM,79.02,broken clouds,-10.1606,32.6335,Location Compound
323,Axim,GH,83.7,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
324,Omboue,GA,82.15,overcast clouds,-1.5746,9.2618,Hotel Olako
326,Pontal Do Parana,BR,79.74,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
327,Acarau,BR,89.74,few clouds,-2.8856,-40.12,castelo pizzaria
331,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
335,Manokwari,ID,79.34,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
337,Harper,LR,84.49,broken clouds,4.375,-7.7169,Screensaver
340,Caravelas,BR,80.76,light rain,-17.7125,-39.2481,Pousada dos Navegantes
348,Sokoni,TZ,82.26,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
357,Puerto Leguizamo,CO,86.86,moderate rain,-0.1934,-74.7819,la casona de juancho
358,San Blas,MX,78.84,clear sky,21.5167,-105.2667,Hotel Posada del Rey
366,Tagusao,PH,78.15,broken clouds,9.1924,117.8141,Toledo
370,Bom Jesus,BR,84.85,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
373,Bilma,NE,73.24,clear sky,18.6853,12.9164,Expeditions Ténére voyages
377,Shakawe,BW,81.23,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
378,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
381,Kendari,ID,76.71,overcast clouds,-3.945,122.4989,Hotel Wixel
382,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
387,Mancora,PE,79.38,few clouds,-4.1078,-81.0475,Máncora Marina Hotel
390,Labuhan,ID,80.17,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
393,Antalaha,MG,75.9,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
395,Hualmay,PE,70.52,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
397,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
402,Carutapera,BR,87.67,overcast clouds,-1.195,-46.02,Lidera
405,Bachaquero,VE,85.98,scattered clouds,9.9694,-71.1494,casa de los dinosaurios
412,Tual,ID,81.99,light rain,-5.6667,132.75,Grand Vilia Hotel
417,Coruripe,BR,85.93,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
419,Ambon,ID,79.07,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
423,Buala,SB,80.4,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
424,Pasni,PK,73.87,clear sky,25.2631,63.471,Kashmiri Hotal
435,Vallenar,CL,81.72,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
438,Pedernales,DO,83.25,clear sky,18.0384,-71.744,Hotel Costa Marina
444,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
448,Anloga,GH,89.82,few clouds,5.7947,0.8973,Pin Drop Hotel
455,Sananduva,BR,76.71,clear sky,-27.9497,-51.8067,São José Palace Hotel
458,Narasannapeta,IN,74.75,few clouds,18.4167,84.05,G.lingaraju home
460,Anito,PH,78.1,light rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
463,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
464,Louis Trichardt,ZA,75.25,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
466,Sorong,ID,79.68,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
468,Mbandaka,CD,79.27,broken clouds,0.0487,18.2603,Guest House Epervier
469,Takaungu,KE,84.29,broken clouds,-3.6837,39.8566,Takaungu House
478,Latur,IN,73.09,broken clouds,18.4,76.5833,Hotel Radhika Latur
484,Emerald,AU,71.74,scattered clouds,-23.5333,148.1667,The Irish Village
485,Barabai,ID,73.81,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
488,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
492,Mackay,AU,78.78,scattered clouds,-21.15,149.2,International Lodge Motel
496,Sungai Besar,MY,80.65,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
497,Tandil,AR,87.31,overcast clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
500,Porto Belo,BR,77.68,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
501,Santa Maria Do Suacui,BR,75.63,broken clouds,-18.1903,-42.4142,Hotel Vale Verde
502,Kavaratti,IN,80.69,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
503,Pouembout,NC,77.7,clear sky,-21.1333,164.9,Camping de Tipenga
505,Bangui,CF,87.85,overcast clouds,4.3612,18.555,SAM HOTEL
508,Zemio,CF,80.65,overcast clouds,5.0314,25.1361,OCHA Office
509,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
510,Meulaboh,ID,79.16,overcast clouds,4.1363,96.1285,Kost Pria
512,Jacareacanga,BR,84.07,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
520,Umm Lajj,SA,73.54,scattered clouds,25.0213,37.2685,Moon light Furnished Units
529,Kupang,ID,78.19,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
530,Sola,VU,75.87,few clouds,-13.8833,167.55,Leumerus Bungalows
536,Okitipupa,NG,87.8,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
537,Huarmey,PE,70.93,overcast clouds,-10.0681,-78.1522,Hotel Miramar
540,Iralaya,HN,82.49,overcast clouds,15.0,-83.2333,Iglesia morava renovada
544,Salalah,OM,74.23,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
546,Kuruman,ZA,88.0,broken clouds,-27.4524,23.4325,Cornerstone Guest House
549,Gorontalo,ID,76.69,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
552,Sikonge,TZ,72.41,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
554,Matara,LK,77.74,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
555,Ponta Pora,BR,76.91,clear sky,-22.5361,-55.7256,Hotel Pousada do Bosque
557,Sangmelima,CM,78.73,overcast clouds,2.9333,11.9833,gamestar hotel
564,Lasem,ID,79.25,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
565,Loubomo,CG,80.82,light rain,-4.1997,12.6739,La Dolisienne
571,Tucuman,AR,82.4,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
572,Rocha,UY,81.28,clear sky,-34.4833,-54.3333,Hotel Arrarte
582,Namibe,AO,75.83,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
583,Biltine,TD,84.65,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
586,Bandar-E Lengeh,IR,73.51,broken clouds,26.5579,54.8807,کافی نت پارس
589,Ahuimanu,US,76.71,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
593,Sur,OM,74.28,clear sky,22.5667,59.5289,Sur Plaza Hotel
599,Mecca,SA,80.58,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
600,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
601,Berbera,SO,77.45,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
603,Samarai,PG,81.25,overcast clouds,-10.6167,150.6667,Nuli Sapi
612,Harindanga,IN,75.18,clear sky,22.0383,88.3214,Hasanur Builders
614,Hervey Bay,AU,75.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
616,Mana,GF,82.11,broken clouds,5.6592,-53.7767,LE SAMANA
618,Palau,PW,81.23,overcast clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
619,Manakara,MG,77.86,clear sky,-22.1333,48.0167,La Residence Manakara
625,Auki,SB,77.9,overcast clouds,-8.7676,160.7034,Auki Motel
627,Basoko,CD,79.9,broken clouds,1.2391,23.616,Jackyna Hotel
628,Palu,ID,76.17,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
629,Manavalakurichi,IN,82.49,clear sky,8.1333,77.3,Muttom beach west
631,Bandarbeyla,SO,77.32,few clouds,9.4942,50.8122,JABIR HOTEL
634,Vieques,PR,87.67,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
636,Yurimaguas,PE,84.36,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
640,Charters Towers,AU,75.47,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
644,Bull Savanna,JM,81.46,broken clouds,17.8868,-77.5902,Big Red's
647,Eydhafushi,MV,81.52,scattered clouds,5.1033,73.0708,Soneva Fushi
648,Bac Lieu,VN,76.48,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
649,Maningrida,AU,84.09,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
650,Mahajanga,MG,87.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
652,Maumere,ID,79.92,overcast clouds,-8.6199,122.2111,Sylvia Hotel
654,Kieta,PG,78.75,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
655,Tautira,PF,77.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
662,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
668,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
674,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
680,Kirundo,BI,74.17,moderate rain,-2.5833,30.1667,Maranatha Hotel
681,Neiafu,TO,72.28,heavy intensity rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
683,San Rafael,AR,75.87,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
684,Prainha,BR,87.46,overcast clouds,-1.8,-53.48,Casa Rocha
685,Mancio Lima,BR,78.87,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
686,Guaratinga,BR,74.07,moderate rain,-16.5667,-39.5667,Hotel Caraíva
688,Pimentel,PE,70.09,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
690,Morondava,MG,82.02,clear sky,-20.2833,44.2833,La Case Bambou
691,Vilhena,BR,80.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
692,Jibuti,DJ,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
696,Akyab,MM,78.4,clear sky,20.15,92.9,Hotel Memory
699,Ouesso,CG,88.21,scattered clouds,1.6136,16.0517,ABENIE Hotel
701,Moengo,SR,88.63,broken clouds,5.6167,-54.4,Masanga
704,Bontang,ID,79.25,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
708,Sao Jose Da Coroa Grande,BR,85.39,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
709,Andros Town,BS,82.36,few clouds,24.7,-77.7667,Hanks place
716,Iracoubo,GF,81.57,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
717,Kindu,CD,75.63,light rain,-2.95,25.95,Résidence Okanda
719,Fare,PF,80.33,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
721,Sambava,MG,77.67,clear sky,-14.2667,50.1667,Melrose
